					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
ompF	ybiJ.ybiC.IGR	CDS	IGR	-12.49	3.9	6	17.7	1	10.6	3
rpsF	xapB.xapA.IGT_AS	CDS	AS	-8.28					17.7	1
alaA.lrhA.IGR	mcaS	IGR	sRNA	-6.25	14.2	6	8.3	3	17.7	3
kgtP	cpxP.3UTR	CDS	3UTR	-10.6	16.8	5	17.7	3	10.8	3
sdaC.ygdH.IGR	sdsR	IGR	sRNA	-5.25			17.6	U		
flhD	rprA	CDS	sRNA	-12.26	11.9	U			17.4	1
malK	xylB.xylA.IGT	CDS	IGT	-4.08			17.4	U		
dnaJ	gadY	CDS	cis_AS_with_trans_t	-7.2			17.3	U		
msrC	micA	CDS	sRNA	-5.32			17.3	2	12.1	2
uup	arcZ	CDS	sRNA	-10.53	0.9	U	17.2	2	8.7	2
kgtP	fadA.fre.IGR	CDS	IGR	-8.06			17.0	1		
ompF	rprA	CDS	sRNA	-13.41	4.8	2	17.0	2	9.9	1
arrS	yibF	cis_AS_with_trans_t	CDS	-4.59			16.9	U		
ycbZ	dsrA	CDS	sRNA	-12.8					16.9	U
ybcM	sdsR	CDS	sRNA	-4.93			16.9	U		
insH-1	oppA	CDS	CDS	-7.66	5.6	U			16.7	2
rfbA	cyaR	CDS	sRNA	-16.31	11.6	6	9.7	3	16.6	3
pitB	cyaR	CDS	sRNA	-10.35			16.6	1		
yhhH.yhhI.IGR	arcZ	IGR	sRNA	-4.48					16.6	U
arfB	cpxP.3UTR	CDS	3UTR	-13.1	3.6	U	16.5	3	11.0	1
yhcF	arcZ	CDS	sRNA	-5.49			16.5	U		
nrfA	oxyS	CDS	sRNA	-7.23	16.5	3				
gltP	arcZ	CDS	sRNA	-2.17	3.8	U	16.4	1	7.5	2
yqjC	uhpT.EST3UTR	CDS	3UTR	-5.97	16.3	U	13.0	1	3.3	U
ilvL.ilvX.IGT	ribE	IGT	CDS	-12.93	16.3	U			5.6	1
yfaY	cpxP.3UTR	CDS	3UTR	-11.12	7.2	U	16.2	2	10.2	U
arrS	yeeN	cis_AS_with_trans_t	CDS	-8.09			16.0	1		
bioD.uvrB.IGR	cpxP.3UTR	IGR	3UTR	-9.57			16.0	U		
yqeI	arcZ	CDS	sRNA	-6.15			16.0	U	9.9	1
fimA.fimE.IGR	cyaR	IGR	sRNA	-16.71			16.0	U		
yecE.AS	arcZ	AS	sRNA	-4.36			16.0	U		
acrB	gadE.mdtE.IGT (gadF)	CDS	IGT	-3.69			15.9	1		
ycfJ	spf	CDS	sRNA	-6.21	2.8	U	15.9	2	9.8	2
clpS	fadA.fre.IGR	CDS	IGR	-6.79			15.8	1		
cfa	rydC	CDS	sRNA	-5.29	3.1	U	10.4	1	15.8	3
amiA	malG.3UTR	CDS	3UTR	-4.43			15.7	U	5.9	1
ydeE	gcvB	CDS	sRNA	-4.71	3.3	1	15.1	1	15.6	2
aphA	cpxP.3UTR	CDS	3UTR	-6.39			15.5	2		
sucA	fadA.fre.IGR	CDS	IGR	-10.41			15.5	1		
maeA	fnrS	CDS	sRNA	-9.62	10.5	6	15.4	3	10.0	2
ampH	cpxP.3UTR	CDS	3UTR	-16.66			15.3	3	8.7	1
dedA	omrB	CDS	sRNA	-8.81			15.2	1	9.4	1
tolC	yqiB	CDS	CDS	-7.35					15.1	U
hchA	arcZ	CDS	sRNA	-14.09			15.1	3		
glnA.3UTR	fre.EST3UTR	3UTR	3UTR	-13.46			15.0	U		
yhcO	sdsR	CDS	sRNA	-7.59			15.0	2		
upp	micL	CDS	sRNA	-8			14.9	U	9.2	1
yjeM	cyaR	CDS	sRNA	-5.84			14.8	U		
ytfK	cspI.ydfP.IGR	CDS	IGR	-11.26			14.7	2		
hybO	ryhB	CDS	sRNA	-7.71	3.3	U			14.7	2
hdeD	cpxP.3UTR	CDS	3UTR	-9			14.7	1		
arrS	waaP	cis_AS_with_trans_t	CDS	-3.04			14.7	U		
ucpA	oxyS	CDS	sRNA	-8.82	14.7	5			9.9	3
pgi	arcZ	CDS	sRNA	-13.9	1.4	1	14.6	3	10.6	3
leuT.AS	micA	AS	sRNA	-6.15					14.6	2
ydhL	arcZ	CDS	sRNA	-5.74			14.5	2	5.3	U
asnW.yeeN.IGR	omrB	IGR	sRNA	-12.79					14.5	1
ung	sdsR	CDS	sRNA	-5.58			14.5	U		
flhD	ymfH	CDS	CDS	-5.29	14.5	U			11.6	U
ibpA	arcZ	CDS	sRNA	-6.74	6.9	U	14.4	2	12.4	1
yqjA	arcZ	CDS	sRNA	-11.03	4.9	3	11.2	3	14.3	3
nanA	cpxP.3UTR	CDS	3UTR	-12.17	5.1	3			14.3	3
mqsR	uhpT.EST3UTR	CDS	3UTR	-6.3					14.3	U
ytfK	fnrS	CDS	sRNA	-16.43	5.4	6	14.2	3	6.5	2
ompT	mgrR	CDS	sRNA	-10.58	1.0	1	14.2	U	1.4	2
ygfZ.AS	arcZ	AS	sRNA	-4.76			14.1	U	4.5	1
metK.galP.IGR	fnrS	IGR	sRNA	-9.68	14.1	4				
tsx	rybB	CDS	sRNA	-11.32	0.6	U	14.0	U	5.1	2
rpoE	micL	CDS	sRNA	-6.67	7.7	1	11.9	3	14.0	3
ymbA	cpxP.3UTR	CDS	3UTR	-0.42			13.9	2		
yjgA	micA	CDS	sRNA	-6.32			13.9	2		
gltB	rprA	CDS	sRNA	-8.43					13.8	U
insH-1	malG.3UTR	CDS	3UTR	-7.16			13.8	U		
hns	ydfW.flxA.IGR	CDS	IGR	-8.31			13.8	1	4.0	1
yehS	sucD.EST3UTR	CDS	3UTR	-13.78	1.9	U	13.8	3	8.5	2
dpiB	cyaR	CDS	sRNA	-9.2			13.7	U	4.2	1
dxr.EST3UTR	oxyS	3UTR	sRNA	-8.97					13.6	1
nrfA	cpxP.3UTR	CDS	3UTR	-9.44	4.4	6	13.6	3	5.2	U
yfgM	fliC.fliA.IGR	CDS	IGR	-5.42	1.2	1	13.6	2	2.1	2
ycgB	micA	CDS	sRNA	-3.79			13.5	1		
deoB.deoD.IGT	malG.3UTR	IGT	3UTR	-9.09	4.2	U			13.5	3
lpp.pykF.IGR	sdsR	IGR	sRNA	-5.49			13.5	1		
ylcI	gcvB	CDS	sRNA	-18.16	4.6	2			13.4	2
mqo	arcZ	CDS	sRNA	-7.45	13.4	U			3.0	1
dacC	mgrR	CDS	sRNA	-13.58	9.5	U	7.8	1	13.4	2
focA	narK.narG.IGR	CDS	IGR	-20.4	13.3	U				
mdtK	ompF	CDS	CDS	-9.57	13.3	1			10.7	2
crcB	ryhB	CDS	sRNA	-14.95					13.2	1
btuE.btuC.IGT	arcZ	IGT	sRNA	-6.46	3.2	U	13.2	3	10.9	3
prlC	sdsR	CDS	sRNA	-5.73			13.2	U		
nanT	uhpT.EST3UTR	CDS	3UTR	-11.58	7.5	4			13.2	3
cysM.cysA.IGT	mgrR	IGT	sRNA	-15.71			13.2	2	10.9	2
dtpB	cpxP.3UTR	CDS	3UTR	-9.48	10.8	1	13.2	3	5.3	1
ybdK	arcZ	CDS	sRNA	-2.77			13.1	1		
fdoG	sucD.EST3UTR	CDS	3UTR	-6.39	3.9	6	8.0	3	13.1	3
brnQ	arcZ	CDS	sRNA	-4.93			13.1	1	6.1	1
ompC	yhcN	CDS	CDS	-8.73	0.9	U	13.1	2	0.9	2
secF.AS	flgL.EST3UTR	AS	3UTR	-5.57	13.1	U				
araG.araF.IGT_AS	narG	AS	CDS	-6.13	13.1	U				
nudI	spf	CDS	sRNA	-1.19					13.0	1
ompW	rybB	CDS	sRNA	-4.94			13.0	3		
yrdD	fnrS	CDS	sRNA	-12.28	5.7	6	13.0	1	5.2	3
ybgE	cpxP.3UTR	CDS	3UTR	-10.4	4.0	1	12.9	3	1.8	1
alsE	cyaR	CDS	sRNA	-8.31			7.1	2	12.9	3
cof	fliY	CDS	CDS	-9.93			12.9	1		
bhsA	rybB	CDS	sRNA	-11.71			12.9	U		
yejE	mgrR	CDS	sRNA	-4					12.9	U
tonB	omrB	CDS	sRNA	-4.44					12.9	2
ybbY	cyaR	CDS	sRNA	-14.76	12.3	U	8.2	2	12.9	1
sppA	arcZ	CDS	sRNA	-6.5			12.8	2	9.4	1
sbmA	mcaS	CDS	sRNA	-10.35	6.3	2	12.8	3	12.7	3
rfbX	mgrR	CDS	sRNA	-10.34			12.7	1		
ychH	allE.EST3UTR	CDS	3UTR	-3.37			12.7	U		
gadE.mdtE.IGT (gadF)	yoaC	IGT	CDS	-10.37			12.7	2		
yhhT	sdsR	CDS	sRNA	-4.56			12.7	U		
ysaA	uhpT.EST3UTR	CDS	3UTR	-12.83	12.7	4			12.7	1
pyrL	spf	CDS	sRNA	-19.55	4.5	U			12.6	1
yhjY.tag.IGR	arcZ	IGR	sRNA	-3.8	12.6	U	8.3	U	3.7	U
gcvH	ycfJ.EST3UTR	CDS	3UTR	-9.32	1.3	U	12.6	3	4.8	U
pspB	rprA	CDS	sRNA	-1.38			12.6	U		
yhcO	cpxP.3UTR	CDS	3UTR	-10.03			12.6	3		
argP	rprA	CDS	sRNA	-2.88			12.6	U		
nlpD	malG.3UTR	CDS	3UTR	-8.54	3.5	U	12.5	3	9.5	3
yijD.AS	arcZ	AS	sRNA	-18.52	1.4	U	12.4	2	0.9	U
miaA.hfq.IGT	cyaR	IGT	sRNA	-10.89	5.5	6	7.6	3	12.4	3
yidE	mgrR	CDS	sRNA	-8.35	7.4	2			12.4	1
yaiA.aroM.IGT	uhpT.EST3UTR	IGT	3UTR	-3.92					12.4	U
hns	dsrA	CDS	sRNA	-14.34	5.1	4	12.0	3	12.3	3
yciT	arcZ	CDS	sRNA	-8.05			12.3	2	2.9	3
lapB.pyrF.IGT	arcZ	IGT	sRNA	-10.67	5.5	U	12.3	2	11.0	2
yagN.AS	mgrR	AS	sRNA	-5.37					12.3	1
gltS	cyaR	CDS	sRNA	-14.83			12.2	1		
rcnR	arcZ	CDS	sRNA	-3.24			12.2	1		
marB	fnrS	CDS	sRNA	-4.71	12.1	3				
ldtC	micA	CDS	sRNA	-7.07			12.1	2		
yphB	arcZ	CDS	sRNA	-5.7			12.1	U		
asr	rprA	CDS	sRNA	-4.1			12.0	1		
ybhP	omrB	CDS	sRNA	-10.28			12.0	U		
ytfR	omrA	CDS	sRNA	-6.03			11.9	U		
dmsA	glpX.3UTR	CDS	3UTR	-5.08	3.3	3	11.9	U		
cstA	arcZ	CDS	sRNA	-10.89	2.0	1	11.8	3	1.6	2
der	yfgJ	CDS	CDS	-9.2	11.8	U				
yfaY	arcZ	CDS	sRNA	-13.27			11.8	3	5.9	3
ypfG	omrB	CDS	sRNA	-10.55			6.7	2	11.8	3
nagE	opgC.EST3UTR	CDS	3UTR	-6.49					11.7	U
yebE.yebF.IGR	cyaR	IGR	sRNA	-7.44			11.7	U		
napH	mgrR	CDS	sRNA	-8.87	5.7	6			11.7	2
dosC	sucD.EST3UTR	CDS	3UTR	-6.78			11.7	2		
rfbC	cpxP.3UTR	CDS	3UTR	-7.44	3.0	U	11.6	3	7.1	U
glnH	mgrR	CDS	sRNA	-8.68	11.6	5	4.0	3	5.4	3
fes	yodB.serU.IGR	CDS	IGR	-4.45					11.6	1
yfbV.ackA.IGR	sucD.EST3UTR	IGR	3UTR	-11.88	3.3	3	11.5	3	10.0	2
ydaM	omrA	CDS	sRNA	-8.48			11.4	2		
yjiH	rprA	CDS	sRNA	-11.6			11.4	2		
yjfY	arcZ	CDS	sRNA	-8.57			11.4	2		
htrL	omrB	CDS	sRNA	-11.13			11.4	U	6.9	U
yfbT	yfbV.EST3UTR	CDS	3UTR	-3.9	11.3	U				
ubiE	dicF	CDS	sRNA	-8.89	11.3	U			7.3	U
fes	cpxP.3UTR	CDS	3UTR	-3.22					11.3	3
ompA	narP.ccmH.IGR	CDS	IGR	-10.07	2.0	1	11.2	3	3.8	2
yjjZ	fnrS	CDS	sRNA	-20.71	11.2	1			1.9	2
yjbB	uhpT.EST3UTR	CDS	3UTR	-6.93					11.2	U
slp.dctR.IGT	arcZ	IGT	sRNA	-5.41			11.2	3		
gntU	cpxP.3UTR	CDS	3UTR	-11.51			11.1	1		
nanC	spf	CDS	sRNA	-7.38	3.7	5			11.1	3
yihX	omrB	CDS	sRNA	-11.94	6.3	U	11.1	U	6.8	3
symR.hsdS.IGR	ryhB	IGR	sRNA	-3.48					11.1	3
rsmH	sdsR	CDS	sRNA	-8.2			11.1	3		
ftsA.ftsZ.IGT	malG.3UTR	IGT	3UTR	-9.26	6.2	1	11.0	2	4.0	3
yhjY	arcZ	CDS	sRNA	-5.7			11.0	2		
cspA.3UTR	ydfH.EST3UTR	3UTR	3UTR	-16.77	11.0	2			3.5	1
yecH	cyaR	CDS	sRNA	-11.29	5.0	6	6.3	3	11.0	3
livJ	gcvB	CDS	sRNA	-12.68	5.1	1	9.2	1	11.0	3
shiA	cpxP.3UTR	CDS	3UTR	-9.91			10.9	3		
yafT	gcvB	CDS	sRNA	-5.18					10.9	1
fabR	cpxP.3UTR	CDS	3UTR	-10.45			3.9	2	10.9	2
ysgA	gcvB	CDS	sRNA	-8.06	2.4	3	10.9	3	6.0	3
cysB	cpxP.3UTR	CDS	3UTR	-9.23	4.0	1	10.9	3	7.1	2
ycaQ	micA	CDS	sRNA	-3.52			10.8	1		
ydgC.AS	gcvB	AS	sRNA	-11.56					10.8	U
glf	rfbX	CDS	CDS	-10.35					10.8	U
kgtP.rrfG.IGR	cpxP.3UTR	IGR	3UTR	-12.54			10.8	2		
insAB-1	omrB	CDS	sRNA	-5.27					10.8	1
yjcE	mgrR	CDS	sRNA	-10.99	5.7	U	7.1	U	10.7	U
ybhP	gcvB	CDS	sRNA	-9.03			10.7	3		
cspD.clpS.IGR	cpxP.3UTR	IGR	3UTR	-12.79			10.6	2		
ydcZ.EST3UTR	mgrR	3UTR	sRNA	-3.81					10.6	U
rbsC	micA	CDS	sRNA	-3.74	1.5	U	10.6	3	6.3	2
dppA.proK.IGR	cpxP.3UTR	IGR	3UTR	-3.92			10.6	U		
aroP	gcvB	CDS	sRNA	-15.2	5.1	5	6.1	U	10.5	3
rsmH	yehA.EST3UTR	CDS	3UTR	-6.96			10.5	2		
nuoG.nuoF.IGT	leuZ.yecA.IGR	IGT	IGR	-4.37					10.5	3
wzzB	wzzB.EST3UTR	CDS	3UTR	-6.87					10.5	U
crfC	mcaS	CDS	sRNA	-12.63	6.8	U	5.7	3	10.5	1
aidB.yjfC.IGR	ryhB	IGR	sRNA	-6.7					10.5	U
yqeF	micL	CDS	sRNA	-8.36			10.5	U		
ghrA	fnrS	CDS	sRNA	-7.79	3.7	1			10.5	2
waaU.waaZ.IGT	micA	IGT	sRNA	-3.26					10.5	1
waaL	spf	CDS	sRNA	-7.98	10.4	U			7.7	1
waaS	cpxP.3UTR	CDS	3UTR	-12.77			10.3	2	3.3	U
ysgA	glpX.3UTR	CDS	3UTR	-10.3			10.3	2		
rpiB	cpxP.3UTR	CDS	3UTR	-4.41			10.3	U		
yrbL	rydC	CDS	sRNA	-8.39	3.0	U	7.6	3	10.3	1
zapD	uhpT.EST3UTR	CDS	3UTR	-10.98	10.3	U				
rpsJ	xylB.xylA.IGT	CDS	IGT	-8.1	3.7	U	1.6	1	10.2	1
yegE.EST3UTR	arcZ	3UTR	sRNA	-8.3			10.2	U		
yeiS	mgrR	CDS	sRNA	-6.58					10.1	U
livK	gcvB	CDS	sRNA	-7.2	8.0	U			10.1	2
arrS	uspB.EST3UTR	cis_AS_with_trans_t	3UTR	-4.84			10.1	1		
abgB	gcvB	CDS	sRNA	-20.78					10.1	U
fiu	oxyS	CDS	sRNA	-7.25					10.1	1
arrS	putP	cis_AS_with_trans_t	CDS	-8.72			10.0	2		
yncL.EST3UTR	mcaS	3UTR	sRNA	-7.07	3.8	U			10.0	1
nlpD	uhpT.EST3UTR	CDS	3UTR	-11.69	6.7	U			10.0	1
gadY	polA.spf.IGR	cis_AS_with_trans_t	IGR	-7.13			10.0	U		
lpxM	ryhB	CDS	sRNA	-5.6					10.0	2
ydhC	cyaR	CDS	sRNA	-9.18			10.0	1	1.4	1
rssA	sdsR	CDS	sRNA	-8.97			10.0	3		
cstA	gcvB	CDS	sRNA	-10.32	2.0	1	9.9	3	0.3	2
gadY	nlpD	cis_AS_with_trans_t	CDS	-6.36			9.9	U		
yfdI.yfdK.IGR	arcZ	IGR	sRNA	-4.78			9.9	U		
tamB	cpxP.3UTR	CDS	3UTR	-6.06			9.9	1		
yjiT	cpxP.3UTR	CDS	3UTR	-1.81	9.9	U				
ydiJ	ryhB	CDS	sRNA	-8.13					9.9	3
yrbL.npr.IGR	chiX	IGR	sRNA	-12.99			6.1	1	9.9	1
grxC	sdsR	CDS	sRNA	-10.81			9.9	3		
ecnB	ruvA	CDS	CDS	-1.23			9.9	U		
ygfT	arcZ	CDS	sRNA	-3.12			9.8	U		
hupB	micA	CDS	sRNA	-11.42	0.9	6	9.8	3	2.1	3
ypfJ	cpxP.3UTR	CDS	3UTR	-10.72			9.8	3		
bamE	arcZ	CDS	sRNA	-10.2	1.1	4	9.8	3	2.4	3
dusC	cyaR	CDS	sRNA	-12.45			9.8	U		
arrS	cfa	cis_AS_with_trans_t	CDS	-2.64			9.8	1		
yjbB	fnrS	CDS	sRNA	-9.6	2.3	U	9.8	U	5.3	U
yhaM.yhaL.IGR	omrB	IGR	sRNA	-4.34					9.8	U
putP	fliC.fliA.IGR	CDS	IGR	-3.11			9.7	U		
ftsN	dicF	CDS	sRNA	-11.28	1.8	U	9.7	U	8.7	1
metH	ryhB	CDS	sRNA	-19.62					9.7	2
gsk	arcZ	CDS	sRNA	-6.69			6.0	U	9.7	2
isrC	arcZ	other-ncRNA	sRNA	-2.9			9.7	1		
wbbI	omrB	CDS	sRNA	-4.23			9.7	U	7.4	2
nmpC	malG.3UTR	CDS	3UTR	-11.07	2.9	1	9.7	2	3.8	2
adrA	cyaR	CDS	sRNA	-6.29			9.7	U		
ytfJ.ytfK.IGR	mgrR	IGR	sRNA	-8.16	2.3	1	9.6	1	3.6	2
degQ	sdsR	CDS	sRNA	-5.68			9.6	1		
focA	ybiJ.ybiC.IGR	CDS	IGR	-5.83					9.6	2
ahpC	oxyS	CDS	sRNA	-9.07	4.4	3			9.6	3
yffL.intZ.IGR	mgrR	IGR	sRNA	-6.66	9.6	5			2.0	1
yahH.yahG.IGR	arcZ	IGR	sRNA	-5.99			9.6	U		
ftnA	dicF	CDS	sRNA	-4	4.1	U			9.6	1
yjeF	sdsR	CDS	sRNA	-10.85			9.5	1		
yjjI	uhpT.EST3UTR	CDS	3UTR	-10.55	1.9	1			9.5	U
gdhA	gcvB	CDS	sRNA	-10.96	7.3	6	9.5	3	9.4	3
bglX	uhpT	CDS	CDS	-4.34					9.5	1
uspD	uhpT.EST3UTR	CDS	3UTR	-6.66	9.5	U				
fabZ	gadE.mdtE.IGT (gadF)	CDS	IGT	-2.97			9.5	1		
deoD	malG.3UTR	CDS	3UTR	-2.44			9.4	U		
sra	allE.EST3UTR	CDS	3UTR	-6.2			9.4	1		
fadL.yfcZ.IGR	cyaR	IGR	sRNA	-3.03			9.4	U		
paaJ	uhpT.EST3UTR	CDS	3UTR	-3.78					9.3	1
yddB	arcZ	CDS	sRNA	-11.32					9.3	3
putP	cpxP.3UTR	CDS	3UTR	-9.45			9.3	1		
fiu	uhpT.EST3UTR	CDS	3UTR	-4.18					9.2	2
dcuC	cpxP.3UTR	CDS	3UTR	-3.13			9.2	U		
rpsO	xylB.xylA.IGT	CDS	IGT	-4.13			9.2	1	5.4	U
ompA	micA	CDS	sRNA	-12.35	1.8	6	9.2	3	4.1	3
rayT	sucD.EST3UTR	CDS	3UTR	-8.24					9.2	U
mdlA	mgrR	CDS	sRNA	-15.35	6.5	U			9.2	1
pspF.AS	cyaR	AS	sRNA	-9.44			9.2	U		
G0-10697.oppA.IGR	micF	IGR	sRNA	-12.16			7.7	3	9.2	2
waaU	ryhB	CDS	sRNA	-8.41					9.2	3
xanQ	cpxP.3UTR	CDS	3UTR	-8.82			9.2	1		
gcvT	mgrR	CDS	sRNA	-11.62	9.1	6	5.8	3	5.6	3
ydcS	fnrS	CDS	sRNA	-9.63			9.1	1		
nadE	cyaR	CDS	sRNA	-12.34	9.1	5	6.7	2	3.8	1
nlpA	gcvB	CDS	sRNA	-6.05	6.5	3			9.1	3
treC.treB.IGT	malG.3UTR	IGT	3UTR	-9.25	4.7	1			9.1	3
modE	uhpT.EST3UTR	CDS	3UTR	-5.28					9.0	U
cobS	arcZ	CDS	sRNA	-7.45	3.9	U	3.0	U	8.9	2
rdlD	sraB	cis_AS_with_trans_t	other-ncRNA	-9.24					8.9	1
clcA	cyaR	CDS	sRNA	-9.3	1.5	1	8.9	2	3.7	U
osmY	glpX.3UTR	CDS	3UTR	-4.5			8.8	1		
ytfJ	fnrS	CDS	sRNA	-10.38	2.4	U	8.8	2	2.4	1
G0-10698	rprA	other-ncRNA	sRNA	-12.71			8.8	U		
pqqL	mgrR	CDS	sRNA	-9.37					8.8	2
arrS	folC	cis_AS_with_trans_t	CDS	-12.52			8.8	3		
mepS	ybiJ.ybiC.IGR	CDS	IGR	-1.93					8.8	1
dsdC	cyaR	CDS	sRNA	-10.07	3.4	U	6.0	U	8.7	1
opgE	cyaR	CDS	sRNA	-15.1	8.2	1	2.6	1	8.7	1
yejO	omrB	CDS	sRNA	-1.65					8.7	U
marA.marB.IGT	fnrS	IGT	sRNA	-11.96					8.7	1
arrS	cyaA	cis_AS_with_trans_t	CDS	-6.86			8.7	3		
ascB	cyaR	CDS	sRNA	-8.64	4.6	U			8.7	U
bhsA	ompC	CDS	CDS	-9.62	7.8	1	8.6	3	3.2	3
dtpA	gcvB	CDS	sRNA	-5.03	4.4	1			8.6	1
sodB	fadA.fre.IGR	CDS	IGR	-4.53			8.6	U		
gltI	malG.3UTR	CDS	3UTR	-8.46			8.6	U		
yqiB	smpB.EST3UTR	CDS	3UTR	-9.37					8.6	1
nagE	ybiJ.ybiC.IGR	CDS	IGR	-6.59	8.6	U			3.0	U
yjgR	sdsR	CDS	sRNA	-9.83			8.6	U		
ves	mgrR	CDS	sRNA	-8.36	8.6	6			4.8	3
ivy	cpxP.3UTR	CDS	3UTR	-7.45			8.5	3		
ompC	malG.3UTR	CDS	3UTR	-9.49	0.9	1	8.5	2	3.7	3
gadE.mdtE.IGT (gadF)	nagE	IGT	CDS	-2.15			8.5	1		
ptsI	malG.3UTR	CDS	3UTR	-13.7	2.2	5	8.5	2	3.0	3
folX	fnrS	CDS	sRNA	-9.33	3.7	1	4.6	U	8.5	2
pheT	cpxP.3UTR	CDS	3UTR	-10.57	2.5	6	8.5	3	5.2	3
waaL.AS	fnrS	AS	sRNA	-8.66	8.5	4			4.4	U
ndh	cyaR	CDS	sRNA	-7.08			8.5	1	0.8	2
nhaA	cyaR	CDS	sRNA	-12.36	3.3	1	8.5	3	7.7	3
yebO.yobF.IGR	mgrR	IGR	sRNA	-9.73					8.5	U
nanC	malG.3UTR	CDS	3UTR	-12.16	3.6	U			8.5	1
uspE	uhpT.EST3UTR	CDS	3UTR	-2.47			8.4	U	2.9	2
yeiG	gcvB	CDS	sRNA	-11.19			8.4	3	5.1	2
hemA	malG.3UTR	CDS	3UTR	-6.04	5.1	U	8.4	1	3.8	U
nlpD	mgrR	CDS	sRNA	-7.96	3.7	6	7.1	3	8.4	3
sbmA	cyaR	CDS	sRNA	-9.05			8.4	2	5.6	3
ftsX	micA	CDS	sRNA	-14.97			8.4	2	3.3	1
ychF.pth.IGT	omrB	IGT	sRNA	-3.39					8.3	2
ydfW.flxA.IGR	arcZ	IGR	sRNA	-7.44	8.3	4	0.5	2	7.2	2
ydcI	arcZ	CDS	sRNA	-10.17			8.3	2	1.3	U
pepA	sucD	CDS	CDS	-5.93			4.1	1	8.3	1
rfbA	cpxP.3UTR	CDS	3UTR	-10.64			8.3	1	4.9	U
rfbB	cpxP.3UTR	CDS	3UTR	-14.52	1.9	U	4.4	2	8.3	1
yfdK.yfdI.IGR	cyaR	IGR	sRNA	-11.47	5.0	6	6.2	3	8.3	3
ydjF	cpxP.3UTR	CDS	3UTR	-10.64			8.2	1		
fruA.psuK.IGR	rprA	IGR	sRNA	-16.08			8.2	2		
malZ	uhpT.EST3UTR	CDS	3UTR	-1.63					8.2	1
putP.efeU_1.IGR	ykgH.EST3UTR	IGR	3UTR	-3.33			8.2	U		
ychJ	cyaR	CDS	sRNA	-12.49			8.2	3	3.6	1
ypfM	arcZ	CDS	sRNA	-6.99	2.0	6	8.2	3	4.4	3
ynfC	arcZ	CDS	sRNA	-6.41			3.8	U	8.1	U
mhpT	cpxP.3UTR	CDS	3UTR	-7.68			8.1	U		
arrS	kgtP	cis_AS_with_trans_t	CDS	-2.87			8.1	3		
rpsF	ygaM.EST3UTR	CDS	3UTR	-6.83					8.1	1
ydcZ	mgrR	CDS	sRNA	-7.08	8.1	U				
gadY	yqaE	cis_AS_with_trans_t	CDS	-7.6			8.1	U		
csiD	spf	CDS	sRNA	-9.35			8.1	U		
yfdY	cpxP.3UTR	CDS	3UTR	-12.53			8.0	3		
panB	sstT	CDS	CDS	-8.97	8.0	U			4.8	U
kefB	micF	CDS	sRNA	-13.33			8.0	U		
ftnA.yecR.IGR	cyaR	IGR	sRNA	-8.15	8.0	U				
sdaC	arcZ	CDS	sRNA	-6.97			8.0	2	1.2	2
rhtA	cyaR	CDS	sRNA	-12.69	7.1	U	8.0	2	7.6	1
chiP	chiX	CDS	sRNA	-16.5	1.7	6	2.9	3	8.0	3
yhgE	cpxP.3UTR	CDS	3UTR	-13.56			8.0	1		
ftnA	sucD.EST3UTR	CDS	3UTR	-8.41	4.8	5			7.9	3
asd	mcaS	CDS	sRNA	-4.69	5.1	4	4.7	2	7.9	3
trkG	cyaR	CDS	sRNA	-16.74	2.9	1	7.9	3	2.8	1
gadE.mdtE.IGT (gadF)	trmJ	IGT	CDS	-5.41			7.9	3		
flxA	arcZ	CDS	sRNA	-7.35	2.3	5	7.9	1	3.6	3
ytfK	mgrR	CDS	sRNA	-4.78	7.9	6	1.6	3	4.9	3
yfcD	cpxP.3UTR	CDS	3UTR	-7.99			7.9	2		
chbB	ryhB	CDS	sRNA	-3.55					7.9	3
gadE.mdtE.IGT (gadF)	ytfJ.ytfK.IGR	IGT	IGR	-9.57			7.9	U		
rspA.AS	arcZ	AS	sRNA	-5.19			7.9	U		
ilvM	gcvB	CDS	sRNA	-15.18	2.9	6	7.9	2	5.7	3
nrdD	rybB	CDS	sRNA	-7.53			7.8	U		
ycgV	arcZ	CDS	sRNA	-8.86			7.8	U		
flxA	micL	CDS	sRNA	-10.38	3.1	U			7.8	1
paaK	spf	CDS	sRNA	-8.38	6.0	U	2.6	U	7.8	3
ycaC	arcZ	CDS	sRNA	-3.64			7.8	3		
yafZ.ykfA.IGT_AS	cpxP.3UTR	AS	3UTR	-3.35			7.8	U		
mscL	cpxP.3UTR	CDS	3UTR	-8.01			7.8	U		
ampD	arrS	CDS	cis_AS_with_trans_t	-2.66			7.7	U		
mdtK	cyaR	CDS	sRNA	-12.84	2.6	U	7.7	3	2.0	1
uhpT	zapD	CDS	CDS	-11.18					7.7	1
uspF.ynaE.IGR	rprA	IGR	sRNA	-6.9			7.7	3		
ispU	oxyS	CDS	sRNA	-9.11	7.7	U				
ptrB	arcZ	CDS	sRNA	0.13			7.7	1		
yfiE	cyaR	CDS	sRNA	-3.08			7.6	U		
rpsJ	yjgZ.insG.IGR	CDS	IGR	-12.7	4.5	1	3.4	U	7.6	3
rpoS	dicF	CDS	sRNA	-9.66	3.9	U	7.6	3	4.0	2
